node,Lake Eleanor,Lake Eleanor,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
2001-01-24,1404.5,1404.5,229.92022751252415,229.92022751252415,1396.7859860632902,1396.7859860632902
2001-01-25,1404.5,1404.5,229.99685871707257,229.99685871707257,1396.9075563279316,1396.9075563279316
2001-01-26,1404.5,1404.5,230.00819454332068,230.00819454332068,1396.9166287357461,1396.9166287357461
2001-01-27,1404.5,1404.5,229.9940512020675,229.9940512020675,1396.9296360675942,1396.9296360675942
2001-01-28,1404.5,1404.5,229.96877645647896,229.96877645647896,1396.9455127812234,1396.9455127812234
2001-01-29,1404.5,1404.5,229.9491981489466,229.9491981489466,1396.988153097822,1396.988153097822
2001-01-30,1404.5,1404.5,229.92918815275675,229.92918815275675,1397.0312470348952,1397.0312470348952
2001-01-31,1404.5,1404.5,229.90455946776274,229.90455946776274,1397.0711414183236,1397.0711414183236
2001-02-01,1404.5,1404.5,229.8803849226641,229.8803849226641,1397.1192251796854,1397.1192251796854
2001-02-02,1404.5,1404.5,229.8572692134782,229.8572692134782,1397.171391524573,1397.171391524573
2001-02-03,1404.5,1404.5,229.83451041358654,229.83451041358654,1397.2117637393571,1397.2117637393571
2001-02-04,1404.5,1404.5,229.81539989542185,229.81539989542185,1397.273456112348,1397.273456112348
2001-02-05,1404.5,1404.5,229.79913122912964,229.79913122912964,1397.3519324399163,1397.3519324399163
2001-02-06,1404.5,1404.5,229.84262002011621,229.84262002011621,1397.4535434074025,1397.4535434074028
2001-02-07,1404.5,1404.5,229.87473218390056,229.87473218390056,1397.525215428971,1397.525215428971
2001-02-08,1404.5,1404.5,229.89829706169724,229.89829706169724,1397.542906624126,1397.542906624126
2001-02-09,1404.5,1404.5,229.92395054284688,229.92395054284688,1397.5480640018798,1397.5480640018798
2001-02-10,1404.5,1404.5,229.98661163432672,229.98661163432672,1397.6229113662112,1397.6229113662112
2001-02-11,1404.5,1404.5,230.0518276550618,230.0518276550618,1397.6737168498616,1397.6737168498616
2001-02-12,1404.5,1404.5,230.11116985912471,230.11116985912471,1397.6914080450167,1397.6914080450167
2001-02-13,1404.5,1404.5,230.14601927600611,230.14601927600611,1397.6963978693054,1397.6963978693054
2001-02-14,1404.5,1404.5,230.17756597713017,230.17756597713017,1397.7050820434542,1397.7050820434542
2001-02-15,1404.5,1404.5,230.21523874717346,230.21523874717346,1397.7236804793722,1397.7236804793722
2001-02-16,1404.5,1404.5,230.24998131304358,230.24998131304358,1397.7388338524056,1397.7388338524056
2001-02-17,1404.5,1404.5,230.28532779512142,230.28532779512142,1397.7772281188281,1397.7772281188281
2001-02-18,1404.5,1404.5,230.32186873336943,230.32186873336943,1397.8393741122932,1397.8393741122932
2001-02-19,1404.5,1404.5,230.3670680114194,230.3670680114194,1397.9137678563359,1397.9137678563359
2001-02-20,1404.5,1404.5,230.47080445934685,230.47080445934685,1397.99405866543,1397.99405866543
2001-02-21,1404.5,1404.5,230.5417022529266,230.5417022529266,1398.0549541377584,1398.0549541377584
