node,Lake Eleanor,Lake Eleanor,Hetch Hetchy Reservoir,Hetch Hetchy Reservoir,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,,,
2005-01-20,0.0,0.0,368.19370937212756,368.19370937212756,1748.3253220362658,1748.3253220362658,121.23613849712174,121.23613849712174
2005-01-21,0.0,0.0,369.26190837936696,369.26190837936696,1754.7453898237616,1754.7453898237616,122.61712349012174,122.61712349012174
2005-01-22,0.0,0.0,370.3115617207572,370.3115617207572,1760.9710116642764,1760.9710116642764,124.05527655912174,124.05527655912174
2005-01-23,0.0,0.0,371.33214506719276,371.33214506719276,1767.0601933952064,1767.0601933952064,125.49141640512174,125.49141640512174
2005-01-24,0.0,0.0,372.2238344784016,372.2238344784016,1773.278037428838,1773.278037428838,126.9980652822744,126.9980652822744
2005-01-25,0.0,0.0,373.4512857302101,373.4512857302101,1781.2535385397873,1781.2535385397873,129.18685129275704,129.18685129275704
2005-01-26,0.0,0.0,375.51349864885856,375.51349864885856,1792.3628333931247,1792.3628333931247,132.86637010907705,132.86637010907705
2005-01-27,0.0,0.0,376.76832621028615,376.76832621028615,1802.5281932168843,1802.5281932168843,134.89619222442644,134.89619222442644
2005-01-28,0.0,0.0,377.9099924724806,377.9099924724806,1812.5187076311115,1812.5187076311115,136.46733047954405,136.46733047954405
2005-01-29,0.0,0.0,378.9443575614729,378.9443575614729,1821.872633689164,1821.872633689164,137.14319194261682,137.14319194261682
2005-01-30,0.0,0.0,379.97566786885244,379.97566786885244,1832.2308575172196,1832.2308575172196,136.52483466743755,136.52483466743755
2005-01-31,0.0,0.0,381.03371801098535,381.03371801098535,1840.006296109095,1840.006296109095,138.3924793509933,138.3924793509933
2005-02-01,0.0,0.0,381.6228201135745,381.6228201135745,1846.2749754910305,1846.2749754910305,139.59611326925565,139.59611326925565
2005-02-02,0.0,0.0,382.16471582636467,382.16471582636467,1852.0351336244835,1852.0351336244835,140.64870561308194,140.64870561308194
2005-02-03,0.0,0.0,382.6811024733988,382.6811024733988,1857.3155654961365,1857.3155654961365,141.5317266303378,141.5317266303378
2005-02-04,0.0,0.0,383.1844029920174,383.1844029920174,1862.8871772657124,1862.8871772657124,142.15363091705603,142.15363091705603
2005-02-05,0.0,0.0,383.6749163435717,383.6749163435717,1868.7942506204474,1868.7942506204474,142.24338319490556,142.24338319490556
2005-02-06,0.0,0.0,384.16930581955205,384.16930581955205,1875.657545718173,1875.657545718173,141.19545623243076,141.19545623243076
2005-02-07,0.0,0.0,377.5981311582223,377.5981311582223,1886.9682146294354,1886.9682146294354,142.1691501622753,142.1691501622753
2005-02-08,0.0,0.0,370.98781128814,370.98781128814,1897.9047328334575,1897.9047328334575,143.0694036891399,143.0694036891399
2005-02-09,0.0,0.0,364.3799379936047,364.3799379936047,1908.7658114059416,1908.7658114059416,143.86681476822028,143.86681476822028
2005-02-10,0.0,0.0,357.7573852457872,357.7573852457872,1919.45576867603,1919.45576867603,144.47423430308328,144.47423430308328
2005-02-11,0.0,0.0,351.1702022942354,351.1702022942354,1930.5767175746494,1930.5767175746494,144.7967565772138,144.7967565772138
2005-02-12,0.0,0.0,344.6026893770596,344.6026893770596,1942.0192878862142,1942.0192878862142,144.47976794928388,144.47976794928388
2005-02-13,0.0,0.0,338.04130101791804,338.04130101791804,1954.6218447473998,1954.6218447473998,142.93041878404208,142.93041878404208
2005-02-14,0.0,0.0,331.5312907444842,331.5312907444842,1965.0641789093074,1965.0641789093074,143.90192971086978,143.90192971086978
2005-02-15,0.0,0.0,325.83632842682374,325.83632842682374,1979.6201443049447,1979.6201443049447,145.8368183546667,145.8368183546667
2005-02-16,0.0,0.0,319.9566577745286,319.9566577745286,1993.6600113886707,1993.6600113886707,147.3837595105435,147.3837595105435
2005-02-17,0.0,0.0,313.70598450908074,313.70598450908074,2006.2911372235876,2006.2911372235876,148.4351039018632,148.4351039018632
2005-02-18,0.0,0.0,307.4993496034795,307.4993496034795,2019.9687524973615,2019.9687524973615,149.35609669563453,149.35609669563453
2005-02-19,0.0,0.0,301.2918053512148,301.2918053512148,2036.8224627509917,2036.8224627509917,149.85980546144123,149.85980546144123
2005-02-20,0.0,0.0,295.127823134354,295.127823134354,2054.6613571064795,2054.6613571064795,149.48552496658263,149.48552496658263
2005-02-21,0.0,0.0,289.23178153490926,289.23178153490926,2070.0841984652607,2070.0841984652607,151.85386769617878,151.85386769617878
2005-02-22,0.0,0.0,283.0251466284903,283.0251466284903,2084.3953464787255,2084.3953464787255,153.28366466456393,153.28366466456393
2005-02-23,0.0,0.0,276.7910472877225,276.7910472877225,2098.6171685383993,2098.6171685383993,154.50784407572002,154.50784407572002
2005-02-24,0.0,0.0,270.5321330673189,270.5321330673189,2099.5986315866344,2099.5986315866344,155.48695713980374,155.48695713980374
2005-02-25,0.0,0.0,264.261887196677,264.261887196677,2099.51410596003,2099.51410596003,156.1038206735143,156.1038206735143
2005-02-26,0.0,0.0,257.9738522319303,257.9738522319303,2099.694108552047,2099.694108552047,155.9520365820216,155.9520365820216
2005-02-27,0.0,0.0,251.79902280762286,251.79902280762286,2102.834175133892,2102.834175133892,154.7018420402086,154.7018420402086
2005-02-28,0.0,0.0,245.5605824182332,245.5605824182332,2098.7412178269597,2098.7412178269597,156.0300239852086,156.0300239852086
2005-03-01,0.0,0.0,239.15577489164497,239.15577489164497,2097.6755227479753,2097.6755227479753,157.0600322902086,157.0600322902086
2005-03-02,0.0,0.0,232.768093393886,232.768093393886,2097.387877258977,2097.387877258977,158.0655748402086,158.0655748402086
2005-03-03,0.0,0.0,226.3505252000797,226.3505252000797,2097.1367458606196,2097.1367458606196,159.0319721812086,159.0319721812086
2005-03-04,0.0,0.0,219.9530574001326,219.9530574001326,2097.0935855455127,2097.0935855455127,160.0233891652086,160.0233891652086
2005-03-05,0.0,0.0,213.50910466479178,213.50910466479178,2096.655199741511,2096.655199741511,160.93342056220862,160.93342056220862
2005-03-06,0.0,0.0,207.10338953759742,207.10338953759742,2096.569555385645,2096.569555385645,161.87290557220862,161.87290557220862
2005-03-07,0.0,0.0,200.75974639878,200.75974639878,2096.468568865878,2096.468568865878,162.83858113720862,162.83858113720862
2005-03-08,0.0,0.0,194.52864573512633,194.52864573512633,2096.5094979945775,2096.5094979945775,163.9023780142086,163.9023780142086
2005-03-09,0.0,0.0,188.4834848130475,188.4834848130475,2096.878532627044,2096.878532627044,165.05226852120862,165.05226852120862
2005-03-10,0.0,0.0,182.58267184824388,182.58267184824388,2097.009692372371,2097.009692372371,166.3222894752086,166.3222894752086
2005-03-11,0.0,0.0,177.0048068556492,177.0048068556492,2097.3506778290675,2097.3506778290675,167.7535361702086,167.7535361702086
2005-03-12,0.0,0.0,171.1223185443884,171.1223185443884,2097.119574910447,2097.119574910447,169.2019088942086,169.2019088942086
2005-03-13,0.0,0.0,165.74262617110378,165.74262617110378,2097.6763977346163,2097.6763977346163,171.0351788922086,171.0351788922086
2005-03-14,0.0,0.0,160.25628579302725,160.25628579302725,2096.912735125988,2096.912735125988,172.5569488822086,172.5569488822086
2005-03-15,0.0,0.0,154.63645906927746,154.63645906927746,2096.4374958037433,2096.4374958037433,173.88789745920857,173.88789745920857
2005-03-16,0.0,0.0,149.14177764432583,149.14177764432583,2096.4894561239144,2096.4894561239144,175.34605648520858,175.34605648520858
2005-03-17,0.0,0.0,143.71070718359718,143.71070718359718,2096.3583834938954,2096.3583834938954,176.84336072020858,176.84336072020858
2005-03-18,0.0,0.0,138.12654324453504,138.12654324453504,2097.452447111243,2097.452447111243,178.44342112820857,178.44342112820857
2005-03-19,0.0,0.0,133.4052164578228,133.4052164578228,2102.570619877432,2102.570619877432,181.31167150420856,181.31167150420856
2005-03-20,0.0,0.0,127.9080588616522,127.9080588616522,2100.561985946455,2100.561985946455,183.22978673320856,183.22978673320856
2005-03-21,0.0,0.0,122.33264044263488,122.33264044263488,2101.9866817608204,2101.9866817608204,185.07103213720856,185.07103213720856
2005-03-22,0.0,0.0,117.24587123040644,117.24587123040644,2112.096840280117,2112.096840280117,187.96444852020855,187.96444852020855
2005-03-23,0.0,0.0,111.73161720006507,111.73161720006507,2110.9739288936844,2110.9739288936844,190.06605691520855,190.06605691520855
2005-03-24,0.0,0.0,106.10232479289306,106.10232479289306,2104.2718413186553,2104.2718413186553,191.73754728420855,191.73754728420855
2005-03-25,0.0,0.0,100.44372280527648,100.44372280527648,2102.6721875105836,2102.6721875105836,193.36832405320854,193.36832405320854
2005-03-26,0.0,0.0,94.82128672877054,94.82128672877054,2102.5795608399976,2102.5795608399976,195.04264269220855,195.04264269220855
2005-03-27,0.0,0.0,89.39755599366957,89.39755599366957,2105.3920705384057,2105.3920705384057,197.07414270720855,197.07414270720855
2005-03-28,0.0,0.0,83.995844437414,83.995844437414,2106.870594431554,2106.870594431554,196.70009346852498,196.70009346852498
2005-03-29,0.0,0.0,78.32588264330653,78.32588264330653,2107.405374447235,2107.405374447235,193.6414146167907,193.6414146167907
2005-03-30,0.0,0.0,72.63547517250052,72.63547517250052,2111.9158231193596,2111.9158231193596,185.76986226858793,185.76986226858793
2005-03-31,0.0,0.0,67.0204034846177,67.0204034846177,2122.0755951151473,2122.0755951151473,168.47073556571382,168.47073556571382
2005-04-01,0.0,0.0,61.41073300686394,61.41073300686394,2151.2685374753746,2151.2685374753746,132.01797798102854,132.01797798102854
2005-04-02,0.0,0.0,56.07148558254367,56.07148558254367,2218.9972533673335,2218.9972533673335,57.64959615178387,57.64959615178387
2005-04-03,0.0,0.0,50.88751924997443,50.88751924997443,2245.6445744191756,2245.6445744191756,25.0,25.0
2005-04-04,0.0,0.0,45.24165984110288,45.24165984110288,2235.8715142258607,2235.8715142258607,26.439550224,26.439550224
2005-04-05,0.0,0.0,39.59529072899236,39.59529072899236,2225.453029573877,2225.453029573877,27.860676993000002,27.860676993000002
2005-04-06,0.0,0.0,35.0,35.0,2214.1566349156997,2214.1566349156997,29.350641501000002,29.350641501000002
2005-04-07,0.0,0.0,35.0,35.0,2199.564998430067,2199.564998430067,31.111508647,31.111508647
2005-04-08,0.0,0.0,35.0,35.0,2183.720967476147,2183.720967476147,32.530522464,32.530522464
2005-04-09,0.0,0.0,35.0,35.0,2167.0218841142823,2167.0218841142823,33.895711619000004,33.895711619000004
2005-04-10,0.0,0.0,35.0,35.0,2149.883079108026,2149.883079108026,35.266868936,35.266868936
2005-04-11,0.0,0.0,35.0,35.0,2132.474888037605,2132.474888037605,36.64918412,36.64918412
2005-04-12,0.0,0.0,35.0,35.0,2115.5927070846665,2115.5927070846665,38.165541989,38.165541989
2005-04-13,0.0,0.0,35.0,35.0,2097.7572561674347,2097.7572561674347,39.503818812999995,39.503818812999995
2005-04-14,0.0,0.0,35.0,35.0,2079.226448764788,2079.226448764788,40.753055114999995,40.753055114999995
2005-04-15,0.0,0.0,35.0,35.0,2060.350545717145,2060.350545717145,41.988575766,41.988575766
2005-04-16,0.0,0.0,35.0,35.0,2042.2087054468752,2042.2087054468752,43.441841640999996,43.441841640999996
2005-04-17,0.0,0.0,35.0,35.0,2039.1375018783751,2039.1375018783751,45.166677402,45.166677402
2005-04-18,0.0,0.0,35.0,35.0,2034.7911597746001,2034.7911597746001,46.580575652,46.580575652
